"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"PLM00012295","BIALYSTOK, PL","2024-01-01","0.08",,"33","34","30"
"PLM00012295","BIALYSTOK, PL","2024-01-02","0.24","3.5","29","33","28"
"PLM00012295","BIALYSTOK, PL","2024-01-03","0.04","3.9","25","30",
"PLM00012295","BIALYSTOK, PL","2024-01-04","0.09","5.1","25",,"20"
"PLM00012295","BIALYSTOK, PL","2024-01-05","0.15","3.9","22","34",
"PLM00012295","BIALYSTOK, PL","2024-01-06","0.00","3.5","18","26","13"
"PLM00012295","BIALYSTOK, PL","2024-01-07","0.00","3.1","11","22",
"PLM00012295","BIALYSTOK, PL","2024-01-08","0.00","3.1","5","11",
"PLM00012295","BIALYSTOK, PL","2024-01-09","0.00","3.1","12",,"-3"
"PLM00012295","BIALYSTOK, PL","2024-01-10","0.00","2.8","24",,"18"
"PLM00012295","BIALYSTOK, PL","2024-01-11","0.00","3.1","30","34",
"PLM00012295","BIALYSTOK, PL","2024-01-12","0.02","2.8","21",,"7"
"PLM00012295","BIALYSTOK, PL","2024-01-13","0.18","5.9","26","33","22"
"PLM00012295","BIALYSTOK, PL","2024-01-14","0.14","7.9","33","34","24"
"PLM00012295","BIALYSTOK, PL","2024-01-15","0.08","8.3","32","34",
"PLM00012295","BIALYSTOK, PL","2024-01-16","0.10","11.0","20","31",
"PLM00012295","BIALYSTOK, PL","2024-01-17","0.00","11.0","17",,"-1"
"PLM00012295","BIALYSTOK, PL","2024-01-18","0.07","11.8","29","33","23"
"PLM00012295","BIALYSTOK, PL","2024-01-19","0.02","11.4","26","28","22"
"PLM00012295","BIALYSTOK, PL","2024-01-20","0.05","12.2","29","34","24"
"PLM00012295","BIALYSTOK, PL","2024-01-21","0.16","13.8","26","34","25"
"PLM00012295","BIALYSTOK, PL","2024-01-22","0.00","13.4","33","38","25"
"PLM00012295","BIALYSTOK, PL","2024-01-23","0.01","12.6","38","40","34"
"PLM00012295","BIALYSTOK, PL","2024-01-24","0.00","8.3","37",,"33"
"PLM00012295","BIALYSTOK, PL","2024-01-25","0.26","6.3","37","41",
"PLM00012295","BIALYSTOK, PL","2024-01-26","0.08","3.9","33","35",
"PLM00012295","BIALYSTOK, PL","2024-01-27","0.06","3.9","34","38","30"
"PLM00012295","BIALYSTOK, PL","2024-01-28","0.02","2.0","34","36","33"
"PLM00012295","BIALYSTOK, PL","2024-01-29","0.00","1.6","34","37",
"PLM00012295","BIALYSTOK, PL","2024-01-30","0.00","1.2","34","42","29"
"PLM00012295","BIALYSTOK, PL","2024-01-31","0.00","0.8","37","40","30"
"PLM00012295","BIALYSTOK, PL","2024-02-01","0.00","0.8","37","40","36"
"PLM00012295","BIALYSTOK, PL","2024-02-02","0.04","0.4","36","39","34"
"PLM00012295","BIALYSTOK, PL","2024-02-03","0.13",,"44","48","36"
"PLM00012295","BIALYSTOK, PL","2024-02-04","0.12",,"40","45",
"PLM00012295","BIALYSTOK, PL","2024-02-05","0.50","0.4","36","42","33"
"PLM00012295","BIALYSTOK, PL","2024-02-06","0.18","1.2","37",,"32"
"PLM00012295","BIALYSTOK, PL","2024-02-07","0.61",,"38","47",
"PLM00012295","BIALYSTOK, PL","2024-02-08","0.12","0.4","29","33",
"PLM00012295","BIALYSTOK, PL","2024-02-09","0.00",,"29","33","22"
"PLM00012295","BIALYSTOK, PL","2024-02-10","0.02","0.4","32",,"31"
"PLM00012295","BIALYSTOK, PL","2024-02-11","0.00",,"37",,"33"
"PLM00012295","BIALYSTOK, PL","2024-02-12","0.18",,"44","49","39"
"PLM00012295","BIALYSTOK, PL","2024-02-13","0.00",,"39","46",
"PLM00012295","BIALYSTOK, PL","2024-02-14","0.02",,"37","46","31"
"PLM00012295","BIALYSTOK, PL","2024-02-15","0.00",,"40","45","31"
"PLM00012295","BIALYSTOK, PL","2024-02-16","0.00",,"40","49",
"PLM00012295","BIALYSTOK, PL","2024-02-17","0.03",,"40","48","34"
"PLM00012295","BIALYSTOK, PL","2024-02-18","0.21",,"32","42",
"PLM00012295","BIALYSTOK, PL","2024-02-19","0.00",,"32","36","25"
"PLM00012295","BIALYSTOK, PL","2024-02-20","0.18",,"38","41","33"
"PLM00012295","BIALYSTOK, PL","2024-02-21","0.18",,"40","43","36"
"PLM00012295","BIALYSTOK, PL","2024-02-22","0.16",,"45","50","41"
"PLM00012295","BIALYSTOK, PL","2024-02-23","0.02",,"45","47","43"
"PLM00012295","BIALYSTOK, PL","2024-02-24","0.33",,"45","53",
"PLM00012295","BIALYSTOK, PL","2024-02-25","0.00",,"43","55","32"
"PLM00012295","BIALYSTOK, PL","2024-02-26","0.00",,"48","56","38"
"PLM00012295","BIALYSTOK, PL","2024-02-27","0.04",,"49","54","45"
"PLM00012295","BIALYSTOK, PL","2024-02-28","0.01",,"48","54","44"
"PLM00012295","BIALYSTOK, PL","2024-02-29","0.05",,"42","47","37"
"PLM00012295","BIALYSTOK, PL","2024-03-01","0.00",,"47","54","43"
"PLM00012295","BIALYSTOK, PL","2024-03-02","0.00",,"43","48",
"PLM00012295","BIALYSTOK, PL","2024-03-03","0.00",,"40","48",
"PLM00012295","BIALYSTOK, PL","2024-03-04","0.00",,"36","39","31"
"PLM00012295","BIALYSTOK, PL","2024-03-05","0.04",,"40","46","33"
"PLM00012295","BIALYSTOK, PL","2024-03-06","0.02",,"35","44",
"PLM00012295","BIALYSTOK, PL","2024-03-07","0.00",,"32","43","22"
"PLM00012295","BIALYSTOK, PL","2024-03-08","0.00",,"32","46","20"
"PLM00012295","BIALYSTOK, PL","2024-03-09","0.00",,"33","49","20"
"PLM00012295","BIALYSTOK, PL","2024-03-10","0.00",,"35","46","25"
"PLM00012295","BIALYSTOK, PL","2024-03-11","0.00",,"38","44","31"
"PLM00012295","BIALYSTOK, PL","2024-03-12","0.00",,"38","41","36"
"PLM00012295","BIALYSTOK, PL","2024-03-13","0.00",,"37","40","35"
"PLM00012295","BIALYSTOK, PL","2024-03-14","0.00",,"39","43","36"
"PLM00012295","BIALYSTOK, PL","2024-03-15","0.00",,"38","45","36"
"PLM00012295","BIALYSTOK, PL","2024-03-16","0.02",,"45","54","35"
"PLM00012295","BIALYSTOK, PL","2024-03-17","0.09",,"38","49",
"PLM00012295","BIALYSTOK, PL","2024-03-18","0.12","0.8","34","39","31"
"PLM00012295","BIALYSTOK, PL","2024-03-19","0.00",,"35","40","32"
"PLM00012295","BIALYSTOK, PL","2024-03-20","0.00",,"37","47",
"PLM00012295","BIALYSTOK, PL","2024-03-21","0.00",,"40","51","26"
"PLM00012295","BIALYSTOK, PL","2024-03-22","0.11",,"44","47","41"
"PLM00012295","BIALYSTOK, PL","2024-03-23","0.16",,"47","51",
"PLM00012295","BIALYSTOK, PL","2024-03-24","0.55",,"38","48",
"PLM00012295","BIALYSTOK, PL","2024-03-25","0.00",,"36","49","27"
"PLM00012295","BIALYSTOK, PL","2024-03-26","0.14",,"37","52","28"
"PLM00012295","BIALYSTOK, PL","2024-03-27","0.00",,"52",,"35"
"PLM00012295","BIALYSTOK, PL","2024-04-01",,,"55","72",
"PLM00012295","BIALYSTOK, PL","2024-04-02",,,"53",,
"PLM00012295","BIALYSTOK, PL","2024-04-03","0.32",,"43","49",
"PLM00012295","BIALYSTOK, PL","2024-04-04","0.00",,"42","49","33"
"PLM00012295","BIALYSTOK, PL","2024-04-05","0.11",,"51","58",
"PLM00012295","BIALYSTOK, PL","2024-04-06","0.16",,"55","64",
"PLM00012295","BIALYSTOK, PL","2024-04-07","0.00",,"55","70","37"
"PLM00012295","BIALYSTOK, PL","2024-04-08","0.00",,"63","79","47"
"PLM00012295","BIALYSTOK, PL","2024-04-09","0.00",,"64","80","51"
"PLM00012295","BIALYSTOK, PL","2024-04-10","0.00",,"58","69","49"
"PLM00012295","BIALYSTOK, PL","2024-04-11","0.00",,"52","60","43"
"PLM00012295","BIALYSTOK, PL","2024-04-12","0.00",,"55","61","47"
"PLM00012295","BIALYSTOK, PL","2024-04-13","0.00",,"56","62",
"PLM00012295","BIALYSTOK, PL","2024-04-14","0.16",,"52","62",
"PLM00012295","BIALYSTOK, PL","2024-04-15","0.00",,"46","54",
"PLM00012295","BIALYSTOK, PL","2024-04-16","0.01",,"44","51","37"
"PLM00012295","BIALYSTOK, PL","2024-04-17","0.02",,"42","50","33"
"PLM00012295","BIALYSTOK, PL","2024-04-18","0.04",,"42","47","39"
"PLM00012295","BIALYSTOK, PL","2024-04-19","0.00",,"42","50","36"
"PLM00012295","BIALYSTOK, PL","2024-04-20","0.02",,"42","49",
"PLM00012295","BIALYSTOK, PL","2024-04-21","0.25",,"40","44","37"
"PLM00012295","BIALYSTOK, PL","2024-04-22","0.00",,"39","43","35"
"PLM00012295","BIALYSTOK, PL","2024-04-23","0.00",,"38","45",
"PLM00012295","BIALYSTOK, PL","2024-04-24","0.02",,"42","47","32"
"PLM00012295","BIALYSTOK, PL","2024-04-25","0.18",,"44","53",
"PLM00012295","BIALYSTOK, PL","2024-04-26","0.01",,"46","59","32"
"PLM00012295","BIALYSTOK, PL","2024-04-27","0.00",,"52","66","36"
"PLM00012295","BIALYSTOK, PL","2024-04-28","0.00",,"56","73","37"
"PLM00012295","BIALYSTOK, PL","2024-04-29","0.00",,"63","76","46"
"PLM00012295","BIALYSTOK, PL","2024-04-30","0.00",,"63","75",
"PLM00012295","BIALYSTOK, PL","2024-05-02","0.00",,"62","78","43"
"PLM00012295","BIALYSTOK, PL","2024-05-03","0.00",,"62","77","48"
"PLM00012295","BIALYSTOK, PL","2024-05-04","0.00",,"61","75","45"
"PLM00012295","BIALYSTOK, PL","2024-05-05","0.00",,"63","77","47"
"PLM00012295","BIALYSTOK, PL","2024-05-06","0.03",,"62","70",
"PLM00012295","BIALYSTOK, PL","2024-05-07",,,"51","62",
"PLM00012295","BIALYSTOK, PL","2024-05-08","0.00",,"49","60","31"
"PLM00012295","BIALYSTOK, PL","2024-05-09","0.00",,"51","63","35"
"PLM00012295","BIALYSTOK, PL","2024-05-10","0.02",,"52","60","39"
"PLM00012295","BIALYSTOK, PL","2024-05-11","0.00",,"48","58",
"PLM00012295","BIALYSTOK, PL","2024-05-12","0.00",,"48","62","31"
"PLM00012295","BIALYSTOK, PL","2024-05-13","0.00",,"53","68","34"
"PLM00012295","BIALYSTOK, PL","2024-05-14","0.00",,"54","67","38"
"PLM00012295","BIALYSTOK, PL","2024-05-15","0.00",,"55","66","38"
"PLM00012295","BIALYSTOK, PL","2024-05-16","0.00",,"56","67",
"PLM00012295","BIALYSTOK, PL","2024-05-17","0.00",,"57","71","38"
"PLM00012295","BIALYSTOK, PL","2024-05-18","0.00",,"61","76","42"
"PLM00012295","BIALYSTOK, PL","2024-05-19","0.00",,"62","77","44"
"PLM00012295","BIALYSTOK, PL","2024-05-20","0.55",,"60","76","48"
"PLM00012295","BIALYSTOK, PL","2024-05-21","0.00",,"62","77","50"
"PLM00012295","BIALYSTOK, PL","2024-05-22","0.00",,"68","79","53"
"PLM00012295","BIALYSTOK, PL","2024-05-23",,,"71","80","64"
"PLM00012295","BIALYSTOK, PL","2024-05-24","0.00",,"70","83","59"
"PLM00012295","BIALYSTOK, PL","2024-05-25","0.30",,"67","77","57"
"PLM00012295","BIALYSTOK, PL","2024-05-26","0.00",,"67","78",
"PLM00012295","BIALYSTOK, PL","2024-05-27","0.00",,"67","81","47"
"PLM00012295","BIALYSTOK, PL","2024-05-28","0.00",,"68","82","49"
"PLM00012295","BIALYSTOK, PL","2024-05-29","0.00",,"67","79","54"
"PLM00012295","BIALYSTOK, PL","2024-05-30","0.06",,"66","81","53"
"PLM00012295","BIALYSTOK, PL","2024-05-31","0.01",,"63","73","53"
"PLM00012295","BIALYSTOK, PL","2024-06-01","0.00",,"64","77","52"
"PLM00012295","BIALYSTOK, PL","2024-06-02","0.12",,"63","74","51"
"PLM00012295","BIALYSTOK, PL","2024-06-03","0.00",,"64","74","55"
"PLM00012295","BIALYSTOK, PL","2024-06-04","0.00",,"65","74","56"
"PLM00012295","BIALYSTOK, PL","2024-06-05","0.00",,"66","77",
"PLM00012295","BIALYSTOK, PL","2024-06-06","0.03",,"60","71",
"PLM00012295","BIALYSTOK, PL","2024-06-07","0.07",,"62","72","50"
"PLM00012295","BIALYSTOK, PL","2024-06-08","0.02",,"60","71",
"PLM00012295","BIALYSTOK, PL","2024-06-09","0.00",,"62","75","49"
"PLM00012295","BIALYSTOK, PL","2024-06-10","0.00",,"59","67","47"
"PLM00012295","BIALYSTOK, PL","2024-06-11","0.03",,"63","75",
"PLM00012295","BIALYSTOK, PL","2024-06-12","0.00",,"58","69","45"
"PLM00012295","BIALYSTOK, PL","2024-06-13","0.08",,"56","69","43"
"PLM00012295","BIALYSTOK, PL","2024-06-14","0.08",,"58","68","45"
"PLM00012295","BIALYSTOK, PL","2024-06-15","0.00",,"62","74","47"
"PLM00012295","BIALYSTOK, PL","2024-06-16","0.00",,"65","79","49"
"PLM00012295","BIALYSTOK, PL","2024-06-17","0.00",,"67","80","53"
"PLM00012295","BIALYSTOK, PL","2024-06-18","0.00",,"70","81","55"
"PLM00012295","BIALYSTOK, PL","2024-06-19","0.04",,"68","86",
"PLM00012295","BIALYSTOK, PL","2024-06-20","0.10",,"61","72","53"
"PLM00012295","BIALYSTOK, PL","2024-06-21","0.00",,"66","80","48"
"PLM00012295","BIALYSTOK, PL","2024-06-22","0.00",,"67","77","57"
"PLM00012295","BIALYSTOK, PL","2024-06-23","0.37",,"62","70","57"
"PLM00012295","BIALYSTOK, PL","2024-06-24","0.04",,"62","68","57"
"PLM00012295","BIALYSTOK, PL","2024-06-25","0.01",,"65","77","58"
"PLM00012295","BIALYSTOK, PL","2024-06-26","0.00",,"71","83","55"
"PLM00012295","BIALYSTOK, PL","2024-06-27","0.00",,"74","86","56"
"PLM00012295","BIALYSTOK, PL","2024-06-28","0.00",,"76","90","60"
"PLM00012295","BIALYSTOK, PL","2024-06-29","0.55",,"71","81",
"PLM00012295","BIALYSTOK, PL","2024-06-30","0.00",,"76","90","56"
"PLM00012295","BIALYSTOK, PL","2024-07-01","0.02",,"69","84",
"PLM00012295","BIALYSTOK, PL","2024-07-02","0.04",,"61","68",
"PLM00012295","BIALYSTOK, PL","2024-07-03","0.00",,"62","71","48"
"PLM00012295","BIALYSTOK, PL","2024-07-04","0.00",,"65","74","56"
"PLM00012295","BIALYSTOK, PL","2024-07-05","0.20",,"62","71","54"
"PLM00012295","BIALYSTOK, PL","2024-07-06","0.00",,"71","82","55"
"PLM00012295","BIALYSTOK, PL","2024-07-07","0.00",,"72","85",
"PLM00012295","BIALYSTOK, PL","2024-07-08","0.15",,"67","80",
"PLM00012295","BIALYSTOK, PL","2024-07-09","0.00",,"71","85","55"
"PLM00012295","BIALYSTOK, PL","2024-07-10","0.00",,"76","87","57"
"PLM00012295","BIALYSTOK, PL","2024-07-11","0.83",,"77","93",
"PLM00012295","BIALYSTOK, PL","2024-07-12","0.08",,"74","84","65"
"PLM00012295","BIALYSTOK, PL","2024-07-13","0.05",,"75","85",
"PLM00012295","BIALYSTOK, PL","2024-07-14","0.02",,"67","77","62"
"PLM00012295","BIALYSTOK, PL","2024-07-15","0.05",,"71","84","59"
"PLM00012295","BIALYSTOK, PL","2024-07-16","0.00",,"76","88","62"
"PLM00012295","BIALYSTOK, PL","2024-07-17","0.26",,"74","83","66"
"PLM00012295","BIALYSTOK, PL","2024-07-18","0.00",,"71","80",
"PLM00012295","BIALYSTOK, PL","2024-07-19","0.00",,"69","78","59"
"PLM00012295","BIALYSTOK, PL","2024-07-20","0.00",,"68","79","51"
"PLM00012295","BIALYSTOK, PL","2024-07-21","0.00",,"71","84","54"
"PLM00012295","BIALYSTOK, PL","2024-07-22","0.00",,"74","87","58"
"PLM00012295","BIALYSTOK, PL","2024-07-23","0.00",,"72","80","64"
"PLM00012295","BIALYSTOK, PL","2024-07-24","0.00",,"71","80","64"
"PLM00012295","BIALYSTOK, PL","2024-07-25","0.04",,"67","74","61"
"PLM00012295","BIALYSTOK, PL","2024-07-26","0.00",,"66","72",
"PLM00012295","BIALYSTOK, PL","2024-07-27","0.00",,"71","82","57"
"PLM00012295","BIALYSTOK, PL","2024-07-28","0.17",,"65","73",
